Key,English
zombieNurseCharged,Charged KatsPurr
zombieNurseInfernal,Infernal KatsPurr

zombieYo,PitchieB
zombieYoFeral,Feral PitchieB
zombieYoRadiated,Radiated PitchieB
zombieYoCharged,Charged PitchieB
zombieYoInfernal,Infernal PitchieB

zombieTomClark,Humble_Donkee
zombieTomClarkRadiated,Radiated Humble_Donkee
zombieTomClarkFeral,Feral Humble_Donkee
zombieTomClarkCharged,Charged Humble_Donkee
zombieTomClarkInfernal,Infernal Humble_Donkee

zombiePartyGirl,Kimmytot1313
zombiePartyGirlFeral,Feral Kimmytot1313
zombiePartyGirlRadiated,Radiated Kimmytot1313
zombiePartyGirlCharged,Charged Kimmytot1313
zombiePartyGirlInfernal,Infernal Kimmytot1313

zombieBusinessMan,LobitoGamingTV
zombieBusinessManFeral,Feral LobitoGamingTV
zombieBusinessManRadiated,Radiated LobitoGamingTV
zombieBusinessManCharged,Charged LobitoGamingTV
zombieBusinessManInfernal,Infernal LobitoGamingTV

zombieSoldier,Techie
zombieSoldierFeral,Feral Techie
zombieSoldierRadiated,Radiated Techie
zombieSoldierCharged,Charged Techie
zombieSoldierInfernal,Infernal Techie

zombieJoe,Cran5000
zombieJoeFeral,Feral Cran5000
zombieJoeRadiated,Radiated Cran5000
zombieJoeCharged,Charged Cran5000
zombieJoeInfernal,Infernal Cran5000

zombieSteve,Frantic_Dan
zombieSteveFeral,Feral Frantic_Dan
zombieSteveRadiated,Radiated Frantic_Dan
zombieSteveCharged,Charged Frantic_Dan
zombieSteveInfernal,Infernal Frantic_Dan

zombieSteveCrawler,LT Dan
zombieSteveCrawlerFeral,Feral LT Dan

zombieRancher,The Cog
zombieRancherFeral,The Feral Cog
zombieRancherRadiated,The Radiated Cog
zombieRancherCharged,The Charged Cog
zombieRancherInfernal ,The Infernal Cog

zombieChuck,Chip
zombieChuckFeral,Tiny Chunk
zombieChuckRadiated,Chuckles
zombieChuckCharged,Chuckster
zombieChuckInfernal,Chucky Cheese

animalChicken,Nugget

animalWolf,Korbulas
animalDireWolf,Raging Korbulas

animalRabbit,Killer Bunny
animalZombieBear,Reclining Gamer

animalZombieVulture,Vulturegeist
animalZombieVultureRadiated,Spicy Dragonfly

zombieWightFeral,Feral DeathAngel
zombieWightRadiated,Radiated DeathAngel
zombieWightCharged,Charged DeathAngel
zombieWightInfernal,Infernal DeathAngel

animalSnake,Viper 7
animalSnakeRadiated,Spicy Viper 7

animalMountainLion,KatPop

animalBear,angeleyes_1971

animalBearSmall,Baby angeleyes_1971

zombieUtilityWorker,Marwillie
zombieUtilityWorkerFeral, Feral Marwillie
zombieUtilityWorkerRadiated,Radiated Marwillie "Marco"
zombieUtilityWorkerCharged,Charged Marwillie "Marco"
zombieUtilityWorkerInfernal,Infernal Marwillie "Marco"

zombieArlene,JynxdGinger79
zombieArleneFeral,Feral JynxdGinger79
zombieArleneRadiated,Radiated JynxdGinger79
zombieArleneCharged,Charged JynxdGinger79
zombieArleneInfernal,Infernal JynxdGinger79

zombieSpider,NuttyMonkey15
zombieSpiderFeral,Feral NuttyMonkey15
zombieSpiderRadiation,Radiated NuttyMonkey15
zombieSpiderCharged,Charged NuttyMonkey15
zombieSpiderInfernal,Infernal NuttyMonkey15

zombieScreamer,MoonLuna
zombieScreamerFeral,Feral MoonLuna
zombieScreamerRadiated,Radiated MoonLuna
zombieScreamerCharged,Charged MoonLuna
zombieScreamerInfernal,Infernal MoonLuna

zombieSkateboarder,Capp00
zombieSkateboarderFeral,Feral Capp00
zombieSkateboarderRadiated,Radiated Capp00
zombieSkateboarderCharged,Charged Capp00
zombieSkateboarderInfernal,Infernal Capp00

zombieFatHawaiian,Shrader
zombieFatHawaiianFeral,Feral Shrader
zombieFatHawaiianRadiated,Radiated Shrader
zombieFatHawaiianCharged,Charged Shrader
zombieFatHawaiianInfernal,Infernal Shrader

zombieFemaleFat,GizmosGifts
zombieFemaleFatFeral,Feral GizmosGifts
zombieFemaleFatRadiated,Radiated GizmosGifts
zombieFemaleFatCharged,Charged GizmosGifts
zombieFemaleFatInfernal,Infernal GizmosGifts

zombieMutated,HamandLiz
zombieMutatedFeral,HamandLiz Feral
zombieMutatedRadiated,HamandLiz Radiated
zombieMutatedCharged,Charged HamandLiz
zombieMutatedInfernal,Infernal HamandLiz



# ============================================================
# CHALLENGES - GROUPS
# ============================================================

challengeGroupBasics,Start Mission
challengeGroupBasicsReward,Find Trader

challengeGroupKill,Kill some Zed heads!
challengeGroupKillReward,Rewards XP

challengeGroupGather,Gather Parts ,Find materials to build an UH-60
challengeGroupGatherReward,Rewards XP

challengeGroupGather2,Gather more Parts, Find materials to build an UH-60
challengeGroupGather2Reward,Rewards XP

challengeGroupEscape,Craft UH-60 and find TRADERS
challengeGroupEscapeReward,Rewards XP


# ============================================================
# CHALLENGES - INDIVIDUAL
# ============================================================

# --- Start Mission ---
challengeKillZombiesACC10Short,10 zombies
challengeKillZombiesACC10Desc,"Kill 10 Zombies and find the Trader.\n\nThe trader is thru the double steel doors on the helicopter deck and down the hatch .\n\nThis starts your missions to complete the Destroyer of Dreams Challenge."

# --- Kill some Zed heads! ---
challengeKillZombiesACC100Short,100 zombies
challengeKillZombiesACC100Desc,"Kill 100 Zombies.\n\nGoal is to eliminate 500 Zombies and earn XP through multiple smaller stages the earn a M60 machine gun."

challengeKillZombiesACC200Short,200 zombies
challengeKillZombiesACC200Desc,"Kill 200 Zombies.\n\nGoal is to eliminate 500 Zombies and earn XP through multiple smaller stages the earn a M60 machine gun."

challengeKillZombiesACC300Short,300 zombies
challengeKillZombiesACC300Desc,"Kill 300 Zombies.\n\nGoal is to eliminate 500 Zombies and earn XP through multiple smaller stages the earn a M60 machine gun."

challengeKillZombiesACC400Short,400 zombies
challengeKillZombiesACC400Desc,"Kill 400 Zombies. \n\nGoal is to eliminate 500 Zombies and earn XP through multiple smaller stages the earn a M60 machine gun."

challengeKillZombiesACC500Short,500 zombies
challengeKillZombiesACC500Desc,"Kill 500 Zombies for a M60  Machine gun."

challengeKillZombiesACC1000Short,1000 zombies
challengeKillZombiesACC1000Desc,"Kill 1000 Zombies.\n\nNow you're just showing off!"

# --- Gather Steel ---
challengeGatherSteelShort,Collect 200 forged steel
challengeGatherSteelDesc,"Gather or Forge 200 forged steel.\n\nForging Requires a crucible that unlocks with 50/50 workbench magazine."
challengeGatherSteelHint,Gather or forge this item

# --- Gather Springs  ---
challengeGatherSpringsShort,Collect 50 Springs
challengeGatherSpringsDesc,"Find 50 Springs"
challengeGatherSpringsHint,Wrench vehicles and machinery

# --- Gather Mechanical Parts ---
challengeGatherMechanicalPartsShort,Collect 60 mechanical parts
challengeGatherMechanicalPartsDesc,"Find 60 mechanical parts."
challengeGatherMechanicalPartsHint,Wrench office chairs and tool boxes

# --- Gather Electrical Parts ---
challengeGatherElectricalPartsShort,Collect 40 electrical parts
challengeGatherElectricalPartsDesc,"Find 40 electrical parts."
challengeGatherElectricalPartsHint,Wrench electronics and computers

# --- Gather Leather ---
challengeGatherLeatherShort,Collect 50 Leather
challengeGatherLeatherDesc,"Find 50 Leather."
challengeGatherLeatherHint,Wrench or scrap Office chairs

# --- Gather Duct Tape ---
challengeGatherDuctTapeShort,Collect 40 Duct Tape
challengeGatherDuctTapeDesc,"Find or craft 40 Duct Tape."
challengeGatherDuctTapeHint,Loot or craft

# --- Gather Headlights ---
challengeGatherHeadlightsShort,Collect 10 Headlights
challengeGatherHeadlightsDesc,"Find 10 Headlights."
challengeGatherHeadlightsHint,Wrench vehicles, projectors or loot  

# --- Gather Metal Pipes ---
challengeGatherMetalPipesShort,Collect 50 Metal Pipes
challengeGatherMetalPipesDesc, "Find 50 Metal Pipes."
challengeGatherMetalPipesHint,Wrench vehicles, plumbing or pipes

# --- Gather Crucible ---
challengeGatherCrucibleShort,Find or craft crucible
challengeGatherCrucibleDesc,Find or craft crucible.\n\nThe crucible unlocks with 50/50 workbench magazines and is rarely found in loot.
challengeGatherCrucibleHint,Find or craft this item

# --- Gather Wheels ---
challengeGathervehicleWheelsShort,Collect 3 Wheels
challengeGathervehicleWheelsDesc,"Find or craft 3 wheels for the UH-60"
challengeGathervehicleWheelsHint,Loot or craft wheels

# --- Gather Engines ---
challengeGathersmallEngineShort,Collect 2 Engines
challengeGathersmallEngineDesc,"Find 2 Engines for the UH-60"
challengeGathersmallEngineHint,Wrench vehicles or engines

# --- Gather Batteries ---
challengeGatherBatteriesShort,Collect 2 batteries
challengeGatherBatteriesDesc,"Find 2 batteries for the UH-60"
challengeGatherBatteriesHint,Wrench vehicles or check battery banks

# --- Craft UH-60 Accessories ---
challengeGatherUH-60AccessoriesShort,Craft UH-60 Accessories
challengeGatherUH-60AccessoriesDesc,"Use parts collected to craft UH-60 Accessories.\n\nRequires skill 50/50 in vehicle magazines to craft."
challengeGatherUH-60AccessoriesHint,Craft UH-60 Accessories

# --- Craft UH-60 Chassis  ---
challengeGatherUH-60ChassisShort,Craft UH-60 Chassis
challengeGatherUH-60ChassisDesc,"Use parts collected to craft UH-60 Chassis.\n\nRequires skill 50/50 in vehicle magazines to craft."
challengeGatherUH-60ChassisHint,Craft UH-60 Chassis
# --- Craft UH-60  ---
challengeGatherUH-60Short,Craft UH-60
challengeGatherUH-60Desc,"Use parts collected to craft UH-60.\n\nRequires skill 50/50 in vehicle magazines to craft.\n\nDont forget to gas it up."
challengeGatherUH-60Hint,Craft UH-60

# --- Trader Jen ---
challengeMeetJenShort,Meet Trader Dawnrox
challengeMeetJenDesc," You can find Trader Dawnrox in the makeshift sickbay at Jen's clinic. She is friendlier than Trader Rekt and deals mostly in Medical supplies."

# --- Trader Hugh ---
challengeMeetHughShort,Meet Trader Hugh
challengeMeetHughDesc,"Trader Hugh is a grizzled veteran holed up in his Army Surplus Store in the front of the ship. Hugh Got It. He's the guy to talk to for Weapons and Ammunitions from his personal reserve."

# --- Trader Joel ---
challengeMeetJoelShort,Meet Trader Shadow_Floodlight
challengeMeetJoelDesc,"Track down Trader Shadow_Floodlight at his heavily fortified Hunter's Camp. Try and not bring any of those zed heads with you."

# --- Trader Rekt ---
challengeMeetRektDesc,"Talk to Trader Rekt at his place of business in the Rekt Feeds. He normally has a stockpile of Food and Farming supplies for sale."

# --- Trader Bob ---
challengeMeetBobDesc,"Bob's Salvage is home to scrapped vehicles, broken appliances, and local gear-head Trader Bob. If you're in the market for Vehicles and Tools he's the man to talk to."

challenge_reward_5000xp,5000 XP + M60


loadingTipAircraft1_title,Seeds asshole
loadingTipAircraft1,"All seed crafting is unlocked by default, and some seeds only require a couple of food items to make. There are NO useable farm plots on the DOCKS or ships ..."

loadingTipAircraft2_title,Zombie Loot
loadingTipAircraft2,"All zombies will be loot able and have a chance to drop specific loot."

loadingTipAircraft3_title,Skill Magazines
loadingTipAircraft3,"Skill magazines can be found in their usual places, and zombies also have a chance to give certain types of magazines"

loadingTipAircraft4_title,Looting
loadingTipAircraft4,"Loot is an integral part to completing this challenge. Loot will NOT restock."

loadingTipAircraft5_title,Zombie respawns
loadingTipAircraft5,"Zombies can now be set to respawn after a time you decide. Check the 'Destroyer' tab on the main menu, and set the number of days (7) recommended, you want between zombies respawning on the ship."

loadingTipAircraft6_title,Resources
loadingTipAircraft6,"Resources are scarce in the ship, but you will be able to find or craft everything you need to complete the challenge. Some resources, like old cash, can be used in recipes - so make sure you check the recipes for EVERYTHING. Also, some of the rarer resources, like acid, can now be crafted. It can also be looted from zombies - along with antibiotics and beakers."

loadingTipAircraft7_title,Crafting
loadingTipAircraft7,"Crafting workstations, and tools like the crucible, and vehicles themselves, take fewer magazines to read before they unlock."

loadingTipAircraft8_title,Cheating
loadingTipAircraft8,"Trying to leave the docks or ship other than by an UH-60 Apache helicopter  is not advised . The ground is SPICY and will end your challenge ..."

loadingTipAircraft9_title,Lost Are We?
loadingTipAircraft9,"If you are lost on where to travel to next, there may have been a kind soul who left directions in the quest instructions. Let's be real though, men neither ask for directions nor read instructions!"

loadingTipAircraft10_title,Special Thanks
loadingTipAircraft10,"Thanks to w00kien00kie for the custom code, Khelldon for the custom menu, Frantic_Dan for UI Ideas."

loadingTipAircraft11_title,Horde Night
loadingTipAircraft11,"Horde nights, better suck it up, buttercup."

loadingTipAircraft12_title,Destroyer Resources
loadingTipAircraft12,"There are many changes from vanilla for resource gathering. Clay soil, for example, can be found by harvesting potted plants, farm plots, and destroyed stone."

loadingTipAircraft13_title,Search Everywhere - Check Everything
loadingTipAircraft13,"For a military vessel, there are considerable nooks, crannies, hidey holes and hidden stashes all over the place. Some say there are hidden shortcuts within the walls too! Navy brass would be rolling in their grave if they weren't ambling around in hordes of the reanimated dead..."

loadingTipAircraft14_title,Fail Quest Reset
loadingTipAircraft14,"Want to continue your mission you can craft a mission quest using Dukes."

loadingTipAircraft15_title,Water Source 
loadingTipAircraft15,"Fear not, there is a water source, just keep a lookout for a dingy."

dishongTowerBundle,Destroyer Challenge Starter Items,,
dishongTowerBundleDesc,Starter items for the Destroyer challenge.,,

Welcome,"Started The Destroyer Challenge"

tutorialTipQuest01,"Welcome aboard the Destroyer, Master Chief! \nThe Oil Tanker  was returned to the docks after your last rescue mission from certain doom on the Aircraft Carrier, but it seems the zombies from the Destroyer reinfested the Oil Tanker. Now grab your supplies, eliminate the zombie threat, and build an UH-60 helicopter to seek refuge at a nearby [ff7f27]OIL RIG[-].  \n\nRULES: \n1. The ground around the Docks is [ff7f27]SPICY[-] and may [ff7f27]NOT[-] be used to support any structures, or to grow any crops, unless you can do this [ff7f27]WITHOUT[-] touching it. \n2. All default game settings, unless you are a seasoned gamer.\n3. You must survive until you are able to build a UH-60 and fly off the Destroyer to complete your [ff7f27]Final Mission [-].\n\nIf [ff7f27]ANYONE[-] dies the mission is over [cd5c5c]PERMADEATH CHALLENGE[-] [ff7f27] however[-], in a large group this is not practical so you may now come back [FFFF00]injured[-] to complete your mission. This is for bragging rights!"

tutorialTipQuest03,"[FFFF00]STORAGE BOXES[-] and [FFFF00]PLAYER BLOCKS[-] will disappear from the [FFFF00]TOXIC DOCKS [-]once the mission is started.\nYou may want to pick up those [FFFF00] BLOCKS[-] so you can have a way back to the Destroyer."/>

challenge_StartingDestroyer,"Welcome aboard Master Chief!"
challenge_StartingDestroyer_subtitle,"Clear some zombies"
challenge_StartingDestroyer_description,"Grab your gear and Let's Go clear our way to the Trader!"

quest_DestroyerChallenge,"Find Blueprint" 
quest_DestroyerChallenge_subtitle,"Find the lost blueprint."
quest_DestroyerChallenge_description,"Since you already know your orders lets get working on finding that blueprint. I think Bob had a few too many and left it over at Jimbo's Beer and Wine. Use anything you can to reach Jimbo's and careful the ground is spicy! \nPlayer blocks will be lost when you start your mission on the Toxic Docks so you might want to pick them up.MGMT"
quest_DestroyerChallenge_offer,"Since you already know your orders lets get working on finding that blueprint. "

quest_DestroyerChallenge02,"Gather UH-60 Parts 1/3"
quest_DestroyerChallenge02_subtitle,"UH-60 Parts"
quest_DestroyerChallenge02_description,"Gather parts to craft UH-60."

quest_DestroyerChallenge03,"Gather UH-60 Parts 2/3"
quest_DestroyerChallenge03_subtitle,"UH-60 Parts"
quest_DestroyerChallenge03_description,"Gather parts to craft UH-60."

quest_DestroyerChallenge05,"Gather UH-60 Parts 3/3 "
quest_DestroyerChallenge05_subtitle," UH-60 helicopter"
quest_DestroyerChallenge05_description,"Gather parts and craft UH-60 helicopter"

quest_DestroyerChallenge08,"Night OPS!"
quest_DestroyerChallenge08_subtitle,"[FFFF00]FORT 666 Night OPS[-]"
quest_DestroyerChallenge08_description,"You might want to bring some heavy ammo and weaponry to give yourself a fighting chance."
quest_DestroyerChallenge08_offer,"Head to Fort 666, and annihilate some zombies night mission."

quest_DestroyerChallenge09,"Final Mission?"
quest_DestroyerChallenge09_subtitle,"Hope you brought enough OIL."
quest_DestroyerChallenge09_description,"Head to the OIL RIG, something tells me this is going to be a battle."

Challenge_Completion,"Challenge Complete"
Challenge_Completion_subtitle,"Congrats!"
Challenge_Completion_description,"Congrats."

Congrats,"Destroyer Challenge Complete"
Congrats_message,"Congrats!  You have completed the Destroyer of Dreams Challenge. GG!!"
